instrument,phase,bars,total_trades,win_rate,avg_win,avg_loss,profit_factor,expectancy,max_drawdown,sharpe_annualized,total_return,exposure_pct,trade_duration
SPY,IS,9195,448,0.5267857142857143,1.62477775423728,-3.444069103773585,0.5251679928572835,-0.7738729910714328,0.0035854025182971124,-3.0918865791117467,-0.0034669510000006993,0.7029907558455682,"{""count"": 448, ""min_hours"": 0.25, ""median_hours"": 4.75, ""max_hours"": 145.25}"
SPY,OOS,3961,188,0.5478723404255319,1.912275412621369,-3.5798412352941273,0.6472990561970551,-0.5708624335106374,0.0012911814842993393,-2.287543751791547,-0.0010732213749999938,0.7354203483968694,"{""count"": 188, ""min_hours"": 0.25, ""median_hours"": 5.5, ""max_hours"": 114.75}"
QQQ,IS,9195,403,0.5905707196029777,2.3714700000000013,-3.966336545454551,0.8624245015471335,-0.22341357320099406,0.0014202565741379442,-0.7909201580569427,-0.0009003567000004113,0.633931484502447,"{""count"": 403, ""min_hours"": 0.25, ""median_hours"": 4.25, ""max_hours"": 145.0}"
QQQ,OOS,3961,166,0.5060240963855421,2.966432380952395,-4.8194041463414585,0.6305311399440824,-0.8795832530120384,0.0018916156660043959,-2.589133389931208,-0.0014601081999993768,0.680131279979803,"{""count"": 166, ""min_hours"": 0.25, ""median_hours"": 5.0, ""max_hours"": 97.25}"
BTC_USD,IS,12497,71,0.4084507042253521,3585.3764980002625,-1879.5252498000011,1.3171502250504559,352.6177176113741,0.19419954900707181,0.7661642176935929,0.25035857950407575,0.5278066736016644,"{""count"": 71, ""min_hours"": 7.0, ""median_hours"": 63.0, ""max_hours"": 357.0}"
BTC_USD,OOS,5377,30,0.3,1690.5773768222216,-2103.5945358877734,0.34442624238395125,-965.3429620747751,0.33248618389321005,-2.166331811241113,-0.28960288862243266,0.4273758601450623,"{""count"": 30, ""min_hours"": 4.0, ""median_hours"": 72.0, ""max_hours"": 193.0}"
GLD,IS,707,1,1.0,134.76418500000005,0.0,inf,134.76418500000005,0.00040553261149378313,1.6309728251959037,0.0013476418500000728,0.7171145685997171,"{""count"": 1, ""min_hours"": 8924.0, ""median_hours"": 8924.0, ""max_hours"": 8924.0}"
GLD,OOS,503,2,1.0,37.737366250000036,0.0,inf,37.737366250000036,0.0009497987733059071,0.618536538163167,0.0007547473249999166,0.5984095427435387,"{""count"": 2, ""min_hours"": 888.0, ""median_hours"": 2676.0, ""max_hours"": 4464.0}"
USO,IS,707,5,0.0,0.0,-7.039333499999995,0.0,-7.039333499999995,0.00039675119610868407,-1.2192572872628682,-0.00035196667499985776,0.7114568599717115,"{""count"": 5, ""min_hours"": 980.0, ""median_hours"": 1388.0, ""max_hours"": 2756.0}"
USO,OOS,503,2,0.5,24.44829,-9.594030000000004,2.5482815876122955,7.427129999999998,0.0004967824752712134,0.2579206088897427,0.00014854260000007343,0.5984095427435387,"{""count"": 2, ""min_hours"": 1660.0, ""median_hours"": 2668.0, ""max_hours"": 3676.0}"
"COMBINED (naive, no correlation filter)",IS,32301,928,0.5431034482758621,208.44948420041192,-189.52793712051897,1.3073511975251415,26.614972734814177,0.04441669600799526,0.6265943834686801,0.04939738939581509,,"{""count"": 928, ""min_hours"": 0.25, ""median_hours"": 5.0, ""max_hours"": 8924.0}"
"COMBINED (naive, no correlation filter)",OOS,14305,388,0.5128865979381443,79.20233216783917,-237.4844281938796,0.3511511570996903,-75.06003305990528,0.06691575422347641,-1.9181448614242862,-0.058246585654486434,,"{""count"": 388, ""min_hours"": 0.25, ""median_hours"": 10.125, ""max_hours"": 4464.0}"
